segmento,t_inicio,t_fin,a_x,b_x,c_x,d_x,a_y,b_y,c_y,d_y
688,0.28613078,0.28654727,-204665084.22519225,155630.91954009,147.95381789,4.35804508,144005328.06931546,-126708.59883072,-303.31716842,24.35441062
689,0.28654727,0.28696377,198811018.97650814,-100093.88374005,171.08461164,4.43187702,-136259352.01736817,53223.08971903,-333.92337796,24.21650545
690,0.28696377,0.28738026,-215730320.02193153,148316.38570166,191.16895232,4.50013327,158646666.21520129,-117030.16144803,-360.49858485,24.07681667
691,0.28738026,0.28779675,206150345.50956056,-121234.20158102,202.44849589,4.58989575,-145970739.10021204,81195.57726316,-375.42344290,23.91783251
692,0.28779675,0.28821324,-242503129.53521469,136346.40505317,208.74262479,4.66807795,194072423.33531865,-101191.85184998,-383.75175385,23.76500991
693,0.28821324,0.28862974,288940778.67450380,-166656.25575719,196.11878026,4.76114908,-255519286.62970042,141297.64003089,-367.04796868,23.60164781
694,0.28862974,0.28904623,-312823651.37441123,194369.29027511,207.66106869,4.83479721,287126160.94134873,-177968.44072260,-382.32110517,23.45482460
695,0.28904623,0.28946272,338171423.33652252,-196497.41281658,206.77472028,4.93240242,-320686463.47636235,180789.77786297,-381.14603764,23.28546310
696,0.28946272,0.28987922,-335112616.29635930,226040.80876177,219.07934166,5.00886902,316716103.42781222,-219901.34684720,-397.43573734,23.13491054
697,0.28987922,0.29029571,352654420.82944566,-192675.49648151,232.97576494,5.11511349,-340214415.77312899,175828.89483688,-415.79161073,22.95411775
698,0.29029571,0.29071220,-396197858.87950671,247958.93187683,256.00093586,5.20420199,398902610.93204969,-249262.00367183,-446.37599591,22.78686415
699,0.29071220,0.29112870,424770644.96140176,-247082.12461564,256.36612006,5.32521284,-440711720.51113009,249158.58474800,-446.41906919,22.58653276
700,0.29112870,0.29154519,-276715280.45218217,283660.03901795,271.60057004,5.41981576,259744052.75961623,-301501.62413722,-468.21958538,22.41198259
701,0.29154519,0.29196168,171549978.34376985,-62089.99903143,363.88296904,5.56214903,-176334325.79105663,23043.21479608,-584.19559927,22.18343780
702,0.29196168,0.29237818,-211035336.16200659,152258.16216446,401.43738933,5.71532733,261559880.67880026,-197282.88989912,-656.76522655,21.93138184
703,0.29237818,0.29279467,300286916.39799494,-111426.13957897,418.44364614,5.89368814,-309950004.89262241,129530.78858331,-684.98351115,21.64251874
704,0.29279467,0.29321116,-846787837.32481527,263776.17162221,481.89638751,6.07033335,1019759862.54879642,-257745.35247371,-738.38399590,21.35730392
705,0.29321116,0.29362766,1137990569.84295511,-794267.77339009,260.95028099,6.25561781,-1466428014.34800625,1016423.57199380,-422.39973121,21.07873709
706,0.29362766,0.29404415,-700448551.35240519,627627.98234876,191.54595319,6.30874005,926265850.63018239,-815847.99945316,-338.86138363,20.97318004
707,0.29404415,0.29446064,584205538.23180139,-247568.04183159,349.83830659,6.44678433,-765246275.67449355,341502.08463275,-536.42319738,20.75744478
708,0.29446064,0.29487713,-507587217.00952011,482384.73396827,447.63784517,6.59175227,674795995.89204562,-614657.36019173,-650.19049249,20.53798017
709,0.29487713,0.29529363,447960328.57926977,-151835.02905906,585.30952569,6.82519599,-590718539.83690679,228486.32480461,-811.02807491,20.20931022
710,0.29529363,0.29571012,-440420549.11587858,407882.16616704,691.95139870,7.07499916,582755790.40902686,-509604.31222612,-928.11178479,19.86847932
711,0.29571012,0.29612661,364727153.88698578,-142414.23006266,802.51696976,7.40212673,-484613519.82942265,218537.03355768,-1049.33930610,19.43563057
712,0.29612661,0.29654311,-434165137.08116949,313304.82935466,873.69172998,7.73801610,571312158.18805921,-386977.56847827,-1119.49363135,19.00148465
713,0.29654311,0.29695960,422938680.44197667,-229175.55850187,908.73099314,8.12488320,-567387104.82380939,326865.19477215,-1144.53002190,18.50937153
714,0.29695960,0.29737609,-413756036.49500489,299277.60323322,937.92801302,8.49416544,548027700.32230258,-382073.29522014,-1167.52381634,18.04839045
715,0.29737609,0.29779259,167752698.72246325,-217702.03420321,971.90367692,8.90682777,-261305743.92403808,302676.01796884,-1200.59223668,17.53544157
716,0.29779259,0.29820908,-174991588.36948758,-8098.49560787,877.85930799,9.28597469,332238535.43595690,-23820.12187795,-1084.45067230,17.06902859
717,0.29820908,0.29862557,92911365.34546711,-226746.87757725,780.04782395,9.63754951,-210322212.02566856,391305.07858348,-931.39571324,16.63723379
718,0.29862557,0.29904207,-448531826.59276479,-110656.04207688,639.52182659,9.92981370,611166389.77019429,128511.81074632,-714.89555108,16.30199693
719,0.29904207,0.29945856,1057527837.42947316,-671087.31228852,313.93109174,10.14456968,-1449957216.33386087,892151.61470734,-289.79624852,16.07069566
720,0.29945856,0.29987505,-878622502.56380653,650271.91815235,305.26162313,10.23531250,1268976131.35191941,-919540.03418968,-301.20333702,16.00000000
721,0.29987505,0.30029155,591199553.70980000,-447548.78475957,389.69441505,10.41177390,-903600022.76977193,666019.48020261,-406.79290553,15.80672197
722,0.30029155,0.30070804,-417602575.87236768,291142.86918856,324.55242606,10.53915697,677902085.26371014,-463010.11925986,-322.24090180,15.68754465
723,0.30070804,0.30112453,322728815.11916316,-230642.93989806,349.75023084,10.69466357,-553439371.00952339,384014.56036984,-355.14200921,15.52199359
724,0.30112453,0.30154102,-264395611.63813260,172600.06108383,325.57577069,10.82363970,476541368.15947729,-307496.52377369,-323.27277281,15.40070838
725,0.30154102,0.30195752,210743950.24545956,-157756.80476974,331.75788494,10.97007815,-405627540.35850704,287932.09116945,-331.42122454,15.24715611
726,0.30195752,0.30237401,-195250778.50702456,105563.41627832,310.01969732,11.09611325,385147911.11682302,-218891.15792491,-302.66615030,15.12976241
727,0.30237401,0.30279050,195410492.12337413,-138398.40609611,296.34414970,11.22943964,-385364768.88503420,262343.21664833,-284.56866645,14.99355976
728,0.30279050,0.30320700,-186100300.79416937,105762.97514926,282.75171699,11.34297540,373047188.39667171,-219162.11723553,-266.58403529,14.89270495
729,0.30320700,0.30362349,191103517.75017369,-126765.51397299,274.00430390,11.46564058,-379667743.34760946,246952.65377241,-255.00946781,14.77060901
730,0.30362349,0.30403998,-161061402.65856385,112014.39158742,267.86056280,11.57157869,339916715.09815723,-227434.36415465,-246.88023431,14.67980725
731,0.30403998,0.30445648,112216377.93598960,-89228.51052655,277.35072567,11.69093521,-275285969.55921972,197284.56349815,-259.43741909,14.56208925
732,0.30445648,0.30487297,-113100882.02250208,50983.54020563,261.42195836,11.79907909,276456335.56912774,-146679.58005774,-238.36079125,14.46836886
733,0.30487297,0.30528946,131560966.38010924,-90333.68014735,245.03289549,11.90863221,-300882357.40998596,198746.91169879,-216.67510544,14.36362254
734,0.30528946,0.30570596,-108684447.01469755,74049.03502980,238.25045271,12.00452182,270612598.40370834,-177199.39077101,-207.70071105,14.28611676
735,0.30570596,0.30612245,103031377.08216953,-61749.94083195,243.37294093,12.10874434,-263132567.83136588,160925.47187415,-214.47868643,14.18842379
736,0.30612245,0.30653894,-111776355.89557184,66985.64069513,245.55357394,12.20683972,274703751.48314315,-167853.24678229,-217.36405708,14.10799937
737,0.30653894,0.30695544,94740314.67278503,-72676.61156923,243.18332368,12.31265528,-252161997.50837544,175383.42729078,-214.22778864,14.00819851
738,0.30695544,0.30737193,-67039458.19925678,45699.45840926,231.94752478,12.40817727,215508770.17738491,-139687.78992086,-199.36080098,13.93117916
739,0.30737193,0.30778842,56383317.47020180,-38064.96249775,235.12723986,12.50786571,-201408774.78573248,129585.97539863,-203.56813731,13.83948559
740,0.30778842,0.30820491,-79622937.32789695,32384.83025969,232.76150382,12.60326515,232158981.75555363,-122070.13637031,-200.43784200,13.76262839
741,0.30820491,0.30862141,87405204.77877279,-67102.38839242,218.30187944,12.70007383,-242456324.66705424,168007.72504855,-181.30515201,13.67474525
742,0.30862141,0.30903790,-61371698.01319525,42108.61299714,207.89214375,12.78566986,208009301.60525104,-134936.45404399,-167.53119491,13.61085973
743,0.30903790,0.30945439,49528125.79779099,-34574.05840626,211.03023396,12.87512599,-192338120.27308670,124966.87990674,-171.68345402,13.53270536
744,0.30945439,0.30987089,-49389191.64642857,27310.31368594,208.00493420,12.96059948,192154285.34266442,-115355.63605298,-167.68043701,13.46898198
745,0.30987089,0.31028738,47955918.48985887,-34400.46304846,205.05193571,13.04840128,-190257806.55152547,124737.18195119,-163.77308761,13.39301657
746,0.31028738,0.31070387,-46602129.60369107,25519.46842575,201.35306248,13.13130137,188466499.78455153,-112986.02490203,-158.87881146,13.33269826
747,0.31070387,0.31112037,46860616.80425441,-32708.93174545,198.35870042,13.21622342,-188808524.97480497,122498.98107614,-154.91673058,13.26054329
748,0.31112037,0.31153686,-36527245.72613080,25842.44285379,195.49885498,13.29655012,175135612.10136670,-113413.37832595,-151.13263948,13.20363004
749,0.31153686,0.31195335,16137122.15774204,-19797.59762035,198.01649148,13.37981784,-148155802.75366518,105414.95832716,-154.46392644,13.13366404
750,0.31195335,0.31236985,-44982721.26027169,365.40382623,189.92311631,13.46002200,186323732.06298202,-79702.66277281,-143.75493204,13.07691294
751,0.31236985,0.31278634,80682518.94058454,-55839.57900626,166.81850357,13.53593716,-233561004.82082167,153104.99911344,-113.18336338,13.01667570
752,0.31278634,0.31320283,-43678953.19461379,44971.56502613,162.29205043,13.60155874,184598631.10942477,-138724.66122079,-107.19405148,12.97921998
753,0.31320283,0.31361933,10922049.89541825,-9604.38648734,177.02223725,13.67379763,-141255398.93983179,91927.52258942,-126.68473812,12.92384712
